card_id,class_name,energy_cost,star_cost,is_x_cost,rarity,card_type,target_type,keywords,deck_eval_excluded,exclusion_reason,status,needs_review,damage,extra_damage,block,cards_drawn,energy,repeat_hits,heal,gold,max_hp,hp_loss,forge,stars,summon,applies_power_state,buffs_applied,debuffs_applied,other_powers_applied,card_generation,card_transform,pool_generation,card_tutor,orbs_generated,scales_with_enemy_power,scales_with_self_power,orb_evoked,card_tags,tribal_references,exhaust_pile_reference,discard_pile_reference,exhausts_other_cards,discards_other_cards,sly_keyword,opaque_values,review_snippet,notes
DEATH_MARCH,DeathMarch,1,,,Uncommon,Attack,AnyEnemy,,,,unparsed_residue,TRUE,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CalculationBaseVar:8,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[3] { new CalculationBaseVar(8m), new ExtraDamageVar(4m), new CalculatedDamageVar(ValueProp.Move).WithMultiplier((CardModel card, Creature? _) => CombatManager.Instance.History.Entries.OfType<CardDrawnEntry>().Count((CardDrawnEntry e) ",
DEBILITATE,Debilitate,1,,,Uncommon,Attack,AnyEnemy,,,,auto,,10,,,,,,,,,,,,,,,DEBILITATE_POWER:2(Counter),,,,,,,,,,,,,,,,,,,
DEBRIS,Debris,1,,,Status,Status,None,Exhaust,TRUE,curse_status,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBT,Debt,-1,,,Curse,Curse,None,Unplayable,TRUE,curse_status,auto,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECAY,Decay,-1,,,Curse,Curse,None,Unplayable,TRUE,curse_status,auto,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECISIONS_DECISIONS,DecisionsDecisions,0,6,,Rare,Skill,Self,Exhaust,,,auto,,,,,3,,3,,,,,,,,,,,,,,,type:Skill:1,,,,,,,,,,,,,,
DEFEND_DEFECT,DefendDefect,1,,,Basic,Skill,Self,,,,auto,,,,5,,,,,,,,,,,,,,,,,,,,,,,Defend,,,,,,,,,
DEFEND_IRONCLAD,DefendIronclad,1,,,Basic,Skill,Self,,,,auto,,,,5,,,,,,,,,,,,,,,,,,,,,,,Defend,,,,,,,,,
DEFEND_NECROBINDER,DefendNecrobinder,1,,,Basic,Skill,Self,,,,auto,,,,5,,,,,,,,,,,,,,,,,,,,,,,Defend,,,,,,,,,
DEFEND_REGENT,DefendRegent,1,,,Basic,Skill,Self,,,,auto,,,,5,,,,,,,,,,,,,,,,,,,,,,,Defend,,,,,,,,,
DEFEND_SILENT,DefendSilent,1,,,Basic,Skill,Self,,,,auto,,,,5,,,,,,,,,,,,,,,,,,,,,,,Defend,,,,,,,,,
DEFILE,Defile,1,,,Common,Attack,AnyEnemy,Ethereal,,,auto,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFLECT,Deflect,0,,,Common,Skill,Self,,,,auto,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRAGMENT,Defragment,1,,,Rare,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,FOCUS_POWER:1(Counter),,,,,,,,,,,,,,,,,,,,
DEFY,Defy,1,,,Common,Skill,AnyEnemy,Ethereal,,,auto,,,,6,,,,,,,,,,,,,WEAK_POWER:1(Counter),,,,,,,,,,,,,,,,,,,
DELAY,Delay,2,,,Uncommon,Skill,Self,,,,auto,,,,11,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMESNE,Demesne,3,,,Rare,Power,Self,Ethereal,,,auto,,,,,1,1,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
DEMONIC_SHIELD,DemonicShield,0,,,Uncommon,Skill,AnyAlly,Exhaust,TRUE,multiplayer_only,unparsed_residue,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,CalculationBaseVar:0;CalculationExtraVar:1,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[4] { new CalculationBaseVar(0m), new HpLossVar(1m), new CalculationExtraVar(1m), new CalculatedBlockVar(ValueProp.Move).WithMultiplier((CardModel card, Creature? _) => card.Owner.Creature.Block) })",
DEMON_FORM,DemonForm,3,,,Rare,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,STRENGTH_POWER:3(Counter),,,,,,,,,,,,,,,,,,,,
DEPRECATED_CARD,DeprecatedCard,0,,,Status,Status,None,Exhaust,TRUE,curse_status,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVASTATE,Devastate,1,4,,Uncommon,Attack,AnyEnemy,,,,auto,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVOUR_LIFE,DevourLife,1,,,Rare,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,DEVOUR_LIFE_POWER:1(Counter),,,,,,,,,,,,,,,,,,,,
DIRGE,Dirge,0,,TRUE,Uncommon,Skill,Self,Exhaust,,,auto,TRUE,,,,,,,,,,,,,3,,,,,SOUL:1?,,,,,,,,,,,,,,,,,
DISCOVERY,Discovery,1,,,Uncommon,Skill,Self,Exhaust,,,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,unfiltered:1,,,,,,,,,,,,,,,
DISINTEGRATION,Disintegration,-1,,,Status,Status,None,,TRUE,curse_status,auto,,,,,,,,,,,,,,,,,DISINTEGRATION_POWER:6(Counter),,,,,,,,,,,,,,,,,,,
DISMANTLE,Dismantle,1,,,Uncommon,Attack,AnyEnemy,,,,auto,,8,,,,,,,,,,,,,,,,,,,,,,VULNERABLE_POWER,,,,,,,,,,,,
DISTRACTION,Distraction,1,,,Event,Skill,Self,Exhaust,,,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,type:Skill:1,,,,,,,,,,,,,,,
DODGE_AND_ROLL,DodgeAndRoll,1,,,Common,Skill,Self,,,,auto,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMINATE,Dominate,1,,,Rare,Skill,AnyEnemy,Exhaust,,,auto,,,,,,,,,,,,,,,,,VULNERABLE_POWER:1(Counter),,,,,,,VULNERABLE_POWER,,,,,,,,,,StrengthPerVulnerable:1,,
DOUBLE_ENERGY,DoubleEnergy,1,,,Uncommon,Skill,Self,Exhaust,,,no_canonical_vars,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOUBT,Doubt,-1,,,Curse,Curse,None,Unplayable,TRUE,curse_status,auto,,,,,,,,,,,,,,,,,WEAK_POWER:1(Counter),,,,,,,,WEAK_POWER,,,,,,,,,,,
DOWSING,Dowsing,-1,,,Quest,Quest,None,Unplayable,,,auto,,,,,,,,,,,,,,,,,,,,ABUNDANCE:1,,,,,,,,,,,,,,Rooms:5,,
DRAIN_POWER,DrainPower,1,,,Common,Attack,AnyEnemy,,,,auto,,10,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAMATIC_ENTRANCE,DramaticEntrance,0,,,Uncommon,Attack,AllEnemies,Exhaust;Innate,,,auto,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREDGE,Dredge,1,,,Uncommon,Skill,Self,Exhaust,,,auto,,,,,3,,,,,,,,,,,,,,,,,unfiltered:1,,,,,,,,,,,,,,
DRUM_OF_BATTLE,DrumOfBattle,1,,,Uncommon,Skill,Self,,,,auto,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUALCAST,Dualcast,1,,,Basic,Skill,Self,,,,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
DUAL_WIELD,DualWield,1,,,Event,Skill,Self,,,,auto,,,,,1,,,,,,,,,,,,,,,,,unfiltered:1,,,,,,,,,,,,,,
DYING_STAR,DyingStar,1,3,,Rare,Attack,AllEnemies,Ethereal,,,auto,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StrengthLoss:9,,
ECHOING_SLASH,EchoingSlash,1,,,Rare,Attack,AllEnemies,,,,auto,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECHO_FORM,EchoForm,3,,,Rare,Power,Self,Ethereal,,,auto,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,EchoForm:1,,
EIDOLON,Eidolon,2,,,Rare,Skill,Self,Exhaust,,,no_canonical_vars,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_OF_DAYS,EndOfDays,3,,,Rare,Skill,AllEnemies,,,,auto,,,,,,,,,,,,,,,,,DOOM_POWER:29(Counter),,,,,,,,,,,,,,,,,,,
ENERGY_SURGE,EnergySurge,1,,,Uncommon,Skill,AllAllies,Exhaust,TRUE,multiplayer_only,auto,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENFEEBLING_TOUCH,EnfeeblingTouch,1,,,Uncommon,Skill,AnyEnemy,Ethereal,,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StrengthLoss:8,,
ENLIGHTENMENT,Enlightenment,0,,,Event,Skill,Self,Exhaust,,,no_canonical_vars,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTHRALLED,Enthralled,2,,,Curse,Curse,None,Eternal,TRUE,curse_status,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRENCH,Entrench,2,,,Event,Skill,Self,,,,no_canonical_vars,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTROPY,Entropy,1,,,Rare,Power,Self,,,,auto,,,,,1,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
ENVENOM,Envenom,2,,,Rare,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,ENVENOM_POWER:1(Counter),,,,,,,,,,,,,,,,,,,,
EQUILIBRIUM,Equilibrium,2,,,Uncommon,Skill,Self,,,,auto,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equilibrium:1,,
ERADICATE,Eradicate,0,,TRUE,Rare,Attack,AnyEnemy,Retain,,,auto,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESCAPE_PLAN,EscapePlan,0,,,Uncommon,Skill,Self,,,,auto,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETERNAL_ARMOR,EternalArmor,3,,,Rare,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,PLATING_POWER:9(Counter),,,,,,,,,,,,,,,,,,,,
EVIL_EYE,EvilEye,1,,,Uncommon,Skill,Self,,,,auto,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPECT_AFIGHT,ExpectAFight,2,,,Uncommon,Skill,Self,,,,unparsed_residue,TRUE,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CalculationBaseVar:0;CalculationExtraVar:1,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[4] { new EnergyVar(0), new CalculationBaseVar(0m), new CalculationExtraVar(1m), new CalculatedVar(""CalculatedEnergy"").WithMultiplier((CardModel card, Creature? _) => PileType.Hand.GetPile(card.Owner).Cards.Count((CardModel c) => c.Typ",
EXPERTISE,Expertise,1,,,Uncommon,Skill,Self,,,,auto,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOSE,Expose,0,,,Uncommon,Skill,AnyEnemy,Exhaust,,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power:2,,
EXTERMINATE,Exterminate,1,,,Event,Attack,AllEnemies,,,,auto,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FADE,Fade,0,,,Uncommon,Skill,AnyAlly,Retain,TRUE,multiplayer_only,auto,,,,,,,,,,,,,,,,DEXTERITY_POWER:6(Counter),,,,,,,,,,,,,,,,,,,,
FALLING_STAR,FallingStar,0,2,,Basic,Attack,AnyEnemy,,,,auto,,8,,,,,,,,,,,,,,,VULNERABLE_POWER:1(Counter);WEAK_POWER:1(Counter),,,,,,,,,,,,,,,,,,,
FAN_OF_KNIVES,FanOfKnives,2,,,Rare,Power,Self,,,,auto,,,,,4,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
FASTEN,Fasten,1,,,Uncommon,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,Defend,,,,,,ExtraBlock:4,,
FEAR,Fear,1,,,Common,Attack,AnyEnemy,Ethereal,,,auto,,7,,,,,,,,,,,,,,,VULNERABLE_POWER:1(Counter),,,,,,,,,,,,,,,,,,,
FEED,Feed,1,,,Rare,Attack,AnyEnemy,Exhaust,,,auto,,10,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
FEEDING_FRENZY,FeedingFrenzy,0,,,Event,Skill,Self,,,,auto,,,,,,,,,,,,,,,,STRENGTH_POWER:5(Counter),,,,,,,,,,,,,,,,,,,,
FEEL_NO_PAIN,FeelNoPain,1,,,Uncommon,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Power:3,,
FERAL,Feral,2,,,Uncommon,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,FERAL_POWER:1(Counter),,,,,,,,,,,,,,,,,,,,
FETCH,Fetch,0,,,Uncommon,Attack,AnyEnemy,,,,auto,,3,,,1,,,,,,,,,,,,,,,,,,,,,,OstyAttack,,,,,,,,,
FIEND_FIRE,FiendFire,2,,,Rare,Attack,AnyEnemy,Exhaust,,,auto,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
FIGHT_ME,FightMe,2,,,Uncommon,Attack,AnyEnemy,,,,auto,,5,,,,,2,,,,,,,,,STRENGTH_POWER:3(Counter),,,,,,,,,,,,,,,,,,EnemyStrength:1,,
FIGHT_THROUGH,FightThrough,1,,,Uncommon,Skill,Self,,,,auto,,,,13,,,,,,,,,,,,,,,WOUND:2,,,,,,,,,,,,,,,,,
FINESSE,Finesse,0,,,Uncommon,Skill,Self,,,,auto,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINISHER,Finisher,1,,,Uncommon,Attack,AnyEnemy,,,,unparsed_residue,TRUE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CalculationBaseVar:0;CalculationExtraVar:1,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[4] { new DamageVar(6m, ValueProp.Move), new CalculationBaseVar(0m), new CalculationExtraVar(1m), new CalculatedVar(""CalculatedHits"").WithMultiplier((CardModel card, Creature? _) => CombatManager.Instance.History.CardPlaysFinished.Coun",
FISTICUFFS,Fisticuffs,1,,,Uncommon,Attack,AnyEnemy,,,,auto,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAK_CANNON,FlakCannon,2,,,Rare,Attack,RandomEnemy,,,,unparsed_residue,TRUE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,CalculationBaseVar:0;CalculationExtraVar:1,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[4] { new DamageVar(8m, ValueProp.Move), new CalculationBaseVar(0m), new CalculationExtraVar(1m), new CalculatedVar(""CalculatedHits"").WithMultiplier((CardModel card, Creature? _) => GetStatuses(card.Owner).Count()) })",
FLAME_BARRIER,FlameBarrier,2,,,Uncommon,Skill,Self,,,,auto,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DamageBack:4,,
FLANKING,Flanking,2,,,Rare,Skill,AnyEnemy,,TRUE,multiplayer_only,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLASH_OF_STEEL,FlashOfSteel,0,,,Uncommon,Attack,AnyEnemy,,,,auto,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATTEN,Flatten,2,,,Common,Attack,AnyEnemy,,,,auto,,12,,,,,,,,,,,,,,,,,,,,,,,,,OstyAttack,,,,,,,,,
FLECHETTES,Flechettes,1,,,Uncommon,Attack,AnyEnemy,,,,unparsed_residue,TRUE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CalculationBaseVar:0;CalculationExtraVar:1,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[4] { new DamageVar(5m, ValueProp.Move), new CalculationBaseVar(0m), new CalculationExtraVar(1m), new CalculatedVar(""CalculatedHits"").WithMultiplier((CardModel card, Creature? _) => PileType.Hand.GetPile(card.Owner).Cards.Count((CardMo",
FLICK_FLACK,FlickFlack,1,,,Common,Attack,AllEnemies,Sly,,,auto,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
FOCUSED_STRIKE,FocusedStrike,1,,,Common,Attack,AnyEnemy,,,,auto,,9,,,,,,,,,,,,,,FOCUS_POWER:1(Counter),,,,,,,,,,,Strike,,,,,,,,,
FOLLY,Folly,-1,,,Curse,Curse,None,Eternal;Ethereal;Innate;Unplayable,TRUE,curse_status,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTWORK,Footwork,1,,,Uncommon,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,DEXTERITY_POWER:2(Counter),,,,,,,,,,,,,,,,,,,,
FORBIDDEN_GRIMOIRE,ForbiddenGrimoire,2,,,Ancient,Power,Self,Eternal,,,no_canonical_vars,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
FOREGONE_CONCLUSION,ForegoneConclusion,1,,,Rare,Skill,Self,,,,auto,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORGOTTEN_RITUAL,ForgottenRitual,1,,,Uncommon,Skill,Self,Exhaust,,,auto,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANTIC_ESCAPE,FranticEscape,1,,,Status,Status,Self,,TRUE,curse_status,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,,SANDPIT_POWER,,,,,,,,,,,,
FRIENDSHIP,Friendship,1,,,Uncommon,Power,Self,,,,auto,,,,,,1,,,,,,,,,TRUE,STRENGTH_POWER:2(Counter),,,,,,,,,,,,,,,,,,,,
FTL,Ftl,0,,,Uncommon,Attack,AnyEnemy,,,,auto,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntVar:3,,
FUEL,Fuel,0,,,Token,Skill,Self,Exhaust,,,auto,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FURNACE,Furnace,1,,,Uncommon,Power,Self,,,,auto,,,,,,,,,,,,5,,,TRUE,,,,,,,,,,,,,,,,,,,,,
FUSION,Fusion,1,,,Uncommon,Skill,Self,Exhaust,,,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,PlasmaOrb:1,,,,,,,,,,,,,
GAMMA_BLAST,GammaBlast,0,3,,Uncommon,Attack,AnyEnemy,,,,auto,,13,,,,,,,,,,,,,,,VULNERABLE_POWER:2(Counter);WEAK_POWER:2(Counter),,,,,,,,,,,,,,,,,,,
GANG_UP,GangUp,1,,,Uncommon,Attack,AnyEnemy,,TRUE,multiplayer_only,unparsed_residue,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CalculationBaseVar:5,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[3] { new CalculationBaseVar(5m), new ExtraDamageVar(5m), new CalculatedDamageVar(ValueProp.Move).WithMultiplier((CardModel card, Creature? target) => CombatManager.Instance.History.Entries.OfType<DamageReceivedEntry>().Count((DamageRe",
GATHER_LIGHT,GatherLight,1,,,Common,Skill,Self,,,,auto,,,,8,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
GENESIS,Genesis,2,,,Rare,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,StarsPerTurn:2,,
GENETIC_ALGORITHM,GeneticAlgorithm,1,,,Rare,Skill,Self,Exhaust,,,unparsed_residue,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntVar:3,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[2] { new BlockVar(CurrentBlock, ValueProp.Move), new IntVar(""Increase"", 3m) })",
GIANT_ROCK,GiantRock,1,,,Token,Attack,AnyEnemy,,,,auto,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLACIER,Glacier,2,,,Uncommon,Skill,Self,,,,auto,,,,6,,,,,,,,,,,,,,,,,,,FrostOrb:2,,,,,,,,,,,,,
GLASSWORK,Glasswork,1,,,Uncommon,Skill,Self,,,,auto,,,,5,,,,,,,,,,,,,,,,,,,GlassOrb:1,,,,,,,,,,,,,
GLIMMER,Glimmer,1,,,Uncommon,Skill,Self,,,,auto,,,,,3,,,,,,,,,,,,,,,,,unfiltered:1,,,,,,,,,,,,PutBack:1,,
GLIMPSE_BEYOND,GlimpseBeyond,1,,,Rare,Skill,AllAllies,Exhaust,TRUE,multiplayer_only,auto,,,,,3,,,,,,,,,,,,,,SOUL:1?,,,,,,,,,,,,,,,,,
GLITTERSTREAM,Glitterstream,2,,,Common,Skill,Self,,,,auto,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOW,Glow,1,,,Common,Skill,Self,,,,auto,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
GOLD_AXE,GoldAxe,1,,,Rare,Attack,AnyEnemy,,,,unparsed_residue,TRUE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CalculationBaseVar:0,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[3] { new CalculationBaseVar(0m), new ExtraDamageVar(1m), new CalculatedDamageVar(ValueProp.Move).WithMultiplier((CardModel _, Creature? _) => CombatManager.Instance.History.CardPlaysFinished.Count()) })",
GO_FOR_THE_EYES,GoForTheEyes,0,,,Common,Attack,AnyEnemy,,,,auto,,3,,,,,,,,,,,,,,,WEAK_POWER:1(Counter),,,,,,,,,,,,,,,,,,,
GRAND_FINALE,GrandFinale,0,,,Rare,Attack,AllEnemies,,,,auto,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAVEBLAST,Graveblast,1,,,Common,Attack,AnyEnemy,Exhaust,,,auto,,4,,,,,,,,,,,,,,,,,,,,unfiltered:1,,,,,,,,,,,,,,
GRAVE_WARDEN,GraveWarden,1,,,Common,Skill,Self,,,,auto,TRUE,,,8,1,,,,,,,,,,,,,,SOUL:1?,,,,,,,,,,,,,,,,,
GREED,Greed,-1,,,Curse,Curse,None,Eternal;Unplayable,TRUE,curse_status,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARDS,Guards,2,,,Rare,Skill,Self,Exhaust,,,no_canonical_vars,TRUE,,,,,,,,,,,,,,,,,,,MINION_SACRIFICE:1?,,unfiltered:1,,,,,,,,,,,,,,
GUIDING_STAR,GuidingStar,1,2,,Common,Attack,AnyEnemy,,,,auto,,12,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUILTY,Guilty,-1,,,Curse,Curse,None,Unplayable,TRUE,curse_status,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combats:5,,
GUNK_UP,GunkUp,1,,,Common,Attack,AnyEnemy,,,,auto,,4,,,,,3,,,,,,,,,,,,SLIMED:1,,,,,,,,,,,,,,,,,
HAILSTORM,Hailstorm,1,,,Uncommon,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,HAILSTORM_POWER:6(Counter),,,,,,,,,,,,,,,,,,,,
HAMMER_TIME,HammerTime,2,,,Rare,Power,Self,,TRUE,multiplayer_only,no_canonical_vars,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
HAND_OF_GREED,HandOfGreed,2,,,Rare,Attack,AnyEnemy,,,,auto,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gold:20,,
HAND_TRICK,HandTrick,1,,,Uncommon,Skill,Self,,,,auto,,,,7,,,,,,,,,,,,,,,,,,unfiltered:1,,,,,,,,,,,,,,
HANG,Hang,1,,,Rare,Attack,AnyEnemy,,,,auto,,10,,,,,,,,,,,,,,,,,,,,,,HANG_POWER,,,,,,,,,,,,
HAUNT,Haunt,1,,,Uncommon,Power,Self,,,,auto,,,,,,,,,,,7,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
HAVOC,Havoc,1,,,Common,Skill,Self,,,,no_canonical_vars,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAZE,Haze,3,,,Uncommon,Skill,AllEnemies,Sly,,,auto,,,,,,,,,,,,,,,,,POISON_POWER:4(Counter),,,,,,,,,,,,,,,,TRUE,,,
HEADBUTT,Headbutt,1,,,Common,Attack,AnyEnemy,,,,auto,,9,,,,,,,,,,,,,,,,,,,,unfiltered:1,,,,,,,,,,,,,,
HEAVENLY_DRILL,HeavenlyDrill,0,,TRUE,Rare,Attack,AnyEnemy,,,,auto,,8,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEGEMONY,Hegemony,2,,,Uncommon,Attack,AnyEnemy,,,,auto,,15,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEIRLOOM_HAMMER,HeirloomHammer,2,,,Rare,Attack,AnyEnemy,,,,auto,,20,,,,,1,,,,,,,,,,,,,,,unfiltered:1,,,,,,,,,,,,,,
HELIX_DRILL,HelixDrill,0,,,Rare,Attack,AnyEnemy,,,,unparsed_residue,TRUE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CalculationBaseVar:0;CalculationExtraVar:1,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[4] { new DamageVar(3m, ValueProp.Move), new CalculationBaseVar(0m), new CalculationExtraVar(1m), new CalculatedVar(""CalculatedHits"").WithMultiplier(delegate(CardModel card, Creature? _) { if (card.Pile == null) { return 0m; } int num ",
HELLO_WORLD,HelloWorld,1,,,Event,Power,Self,,,,no_canonical_vars,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
HELLRAISER,Hellraiser,2,,,Rare,Power,Self,,,,no_canonical_vars,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
HEMOKINESIS,Hemokinesis,1,,,Uncommon,Attack,AnyEnemy,,,,auto,,15,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
HIBERNATE,Hibernate,2,,,Uncommon,Skill,Self,,TRUE,multiplayer_only,auto,,,,,,,2,,,,,,,,,,,,,,,,FrostOrb:1?,,,,,,,,,,,,,
HIDDEN_CACHE,HiddenCache,1,,,Common,Skill,Self,,,,auto,,,,,,,,,,,,,1,,,STAR_NEXT_TURN_POWER:3(Counter),,,,,,,,,,,,,,,,,,,,
HIDDEN_DAGGERS,HiddenDaggers,0,,,Uncommon,Skill,Self,,,,auto,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,Shivs:2,,
HIDDEN_GEM,HiddenGem,1,,,Rare,Skill,Self,,,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntVar:2,,
HIGH_FIVE,HighFive,2,,,Uncommon,Attack,AllEnemies,,,,auto,,11,,,,,,,,,,,,,,,VULNERABLE_POWER:2(Counter),,,,,,,,,,OstyAttack,,,,,,,,,
HOLOGRAM,Hologram,1,,,Common,Skill,Self,Exhaust,,,auto,,,,3,,,,,,,,,,,,,,,,,,unfiltered:1,,,,,,,,,,,,,,
